a\c	mol	0	1	2
0	0	[]	[]	[]
0	1	[]	[]	[]
1	0	[]	0.0654186365752	[]
1	1	[]	0.0975064628534	[]
2	0	[]	[]	[]
2	1	[]	[]	[]
