c\b	mol	0	1	2
0	0	[]	0.740720611991	[]
0	1	[]	0.687318875498	[]
1	0	0.255010775617	0.0	0.407566862327
1	1	0.583032749304	0.371035406736	0.150323159524
2	0	[]	0.733362579268	[]
2	1	[]	0.747059360663	[]
