c\b	mol	0	1	2
0	0	[]	[]	[]
0	1	[]	[]	[]
0	2	[]	[]	[]
0	3	[]	[]	[]
1	0	[]	0.0	[]
1	1	[]	-2.36416818841	[]
1	2	[]	-2.81910680254	[]
1	3	[]	[]	[]
2	0	[]	[]	[]
2	1	[]	[]	[]
2	2	[]	[]	[]
2	3	[]	[]	[]
