b\a	mol	0	1	2	3	4	5	6	7	8	9	10
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	2.06455001537	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	2.24780332063	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	2.9184131884	1.58334745421	2.30436124317	[]	[]	[]	[]
3	1	[]	[]	[]	[]	2.75405539963	1.6003481946	2.71400847635	[]	[]	[]	[]
4	0	[]	[]	[]	2.57184967961	2.42227638457	3.00097321861	2.18092746289	2.23616419896	[]	[]	[]
4	1	[]	[]	[]	2.34551497997	5.4413050284	7.76849866622	3.57192752169	2.84258731451	[]	[]	[]
5	0	[]	[]	2.58427541753	1.7764718583	1.34624351354	2.01028327942	2.3285301497	1.4872946808	2.34369755692	[]	[]
5	1	[]	[]	3.11682204118	2.2302508323	3.32939169692	2.67663473918	1.34113133043	1.58615652434	2.96490099703	[]	[]
6	0	[]	[]	[]	5.54280509932	2.19008090022	4.96362367957	3.36001217885	2.96979778402	[]	[]	[]
6	1	[]	[]	[]	3.65277412306	1.12046990956	1.52115952938	1.48456474298	4.95389780255	[]	[]	[]
7	0	[]	[]	[]	[]	3.00422817572	2.03206743566	2.47764017996	[]	[]	[]	[]
7	1	[]	[]	[]	[]	2.74960190986	1.95475861866	2.91003516705	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	2.32282153255	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	2.41016611931	[]	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
9	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
