a\c	mol	0	1	2	3	4	5	6	7	8	9	10
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	3.53724953626	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	3.00777853258	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	1.95667428657	3.45669392673	1.94740127946	[]	[]	[]	[]
2	1	[]	[]	[]	[]	2.39651833815	2.50880310375	2.36324374999	[]	[]	[]	[]
3	0	[]	[]	[]	2.57184967961	1.42625047731	8.8902965967	1.30601683162	2.25815808352	[]	[]	[]
3	1	[]	[]	[]	2.34551497997	1.66061802807	4.20386406471	1.70547552455	2.21642237196	[]	[]	[]
4	0	[]	[]	2.90343900347	2.42227638457	0.917019293636	9.34661982577	0.729001926289	2.5504985277	2.87323523997	[]	[]
4	1	[]	[]	2.50532951418	5.4413050284	1.27724737093	2.31038199301	1.43435554185	5.74644436033	2.47931005014	[]	[]
5	0	[]	2.22995042932	1.70002215707	3.00097321861	0.684405201796	3.84079374184	0.521733358382	3.19084241049	1.70401626461	2.23681824589	[]
5	1	[]	2.28774784367	1.78000852365	7.76849866622	1.77164114931	0.969815922698	1.8730676734	8.12582213348	1.78119313183	2.29123732346	[]
6	0	[]	[]	2.4292317825	2.18092746289	-0.0154206406188	3.84491611248	-0.0466957840695	2.34811781283	2.45582091378	[]	[]
6	1	[]	[]	2.81898312445	3.57192752169	1.78904720635	3.6259236193	1.84086647223	3.74705181285	2.85406646019	[]	[]
7	0	[]	[]	[]	2.23616419896	0.336529507737	7.12964742513	0.3147854128	2.1444813256	[]	[]	[]
7	1	[]	[]	[]	2.84258731451	1.65646660016	4.03094512597	1.64639240349	2.58085685561	[]	[]	[]
8	0	[]	[]	[]	[]	1.50456267679	4.16709104896	1.37582360919	[]	[]	[]	[]
8	1	[]	[]	[]	[]	2.27591898322	1.72759253688	2.12667892006	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	2.84593211279	[]	[]	[]	[]	[]
9	1	[]	[]	[]	[]	[]	4.61316090348	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
