b\a	mol	0	1	2	3	4	5	6	7	8	9	10
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	2.04637032466	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	2.28373558922	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	2.95307073525	1.55190977603	2.24397990803	[]	[]	[]	[]
2	1	[]	[]	[]	[]	2.6816392624	1.57057197326	2.65895676663	[]	[]	[]	[]
3	0	[]	[]	[]	-0.109065747162	1.32745912053	-1.31100002416	0.278105562414	1.44827107727	[]	[]	[]
3	1	[]	[]	[]	1.45750661719	-0.217570232607	-2.68758096763	1.50585786172	-1.8772380032	[]	[]	[]
4	0	[]	[]	1.94740127946	1.30601683162	0.729001926289	0.521733358382	-0.0466957840695	0.3147854128	1.37582360919	[]	[]
4	1	[]	[]	2.36324374999	1.70547552455	1.43435554185	1.8730676734	1.84086647223	1.64639240349	2.12667892006	[]	[]
5	0	[]	3.07849205967	1.9247447324	2.48432567443	1.57651804184	-0.222348314859	0.598669636541	2.23625506373	2.03884670147	2.50678374522	[]
5	1	[]	2.85463039123	2.66580142889	3.77652462355	2.70326969927	1.84630770487	2.93469236789	2.93089652686	1.96499115422	3.29337958369	[]
6	0	[]	[]	3.08447066238	1.69395725245	0.90307015228	-0.512473301959	-1.2672934561	0.519664886335	2.66065420551	[]	[]
6	1	[]	[]	2.81259549734	1.7460117317	2.09271758093	2.2830480311	1.50204569201	1.77442542338	2.7381918458	[]	[]
7	0	[]	[]	[]	1.5215827142	-0.474095002789	-6.75517815722	-3.46496955878	2.71952614722	[]	[]	[]
7	1	[]	[]	[]	2.76435148033	-1.44604277514	-4.51849479281	0.210027365132	1.76741009364	[]	[]	[]
8	0	[]	[]	[]	[]	3.0322210518	1.94649384469	2.4213998211	[]	[]	[]	[]
8	1	[]	[]	[]	[]	2.75996707432	1.96176711225	2.87390403517	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	2.32181632748	[]	[]	[]	[]	[]
9	1	[]	[]	[]	[]	[]	2.4273351203	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
