c\b	mol	0	1	2	3	4	5	6	7	8	9	10
0	0	[]	[]	[]	[]	[]	2.29972080334	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	2.30891044629	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	2.22995042932	1.77784007618	2.30794889698	[]	[]	[]	[]
1	1	[]	[]	[]	[]	2.28774784367	1.84457006264	2.300342321	[]	[]	[]	[]
2	0	[]	[]	[]	2.17539539155	1.70002215707	-2.22289442276	1.77889696486	2.33330537937	[]	[]	[]
2	1	[]	[]	[]	2.2535234775	1.78000852365	-2.57649164189	1.85702484393	2.32017234566	[]	[]	[]
3	0	[]	[]	2.06455001537	1.58334745421	3.00097321861	2.01028327942	4.96362367957	2.03206743566	2.32282153255	[]	[]
3	1	[]	[]	2.24780332063	1.6003481946	7.76849866622	2.67663473918	1.52115952938	1.95475861866	2.41016611931	[]	[]
4	0	[]	2.09072863364	1.59030657774	-1.27500958807	0.684405201796	-0.111197345247	-0.394574114193	-6.77673196506	1.83287142473	2.30018299308	[]
4	1	[]	2.27409647894	1.60090797452	-2.80806185271	1.77164114931	1.7276457081	2.10161306541	-4.34774280965	1.90082634671	2.39313989624	[]
5	0	2.28393010272	1.76449946373	-2.2779693206	3.08424232249	3.84079374184	0.0	3.19689954378	2.76017200842	4.40790445181	1.66009611124	2.33514879262
5	1	2.27156857953	1.95688277866	-1.59667608503	0.848513943519	0.969815922698	-0.622919936964	1.77067221561	2.16479186493	1.66587876421	1.82193472357	2.30875627588
6	0	[]	2.04637032466	1.55190977603	-1.31100002416	0.521733358382	-0.222348314859	-0.512473301959	-6.75517815722	1.94649384469	2.32181632748	[]
6	1	[]	2.28373558922	1.57057197326	-2.68758096763	1.8730676734	1.84630770487	2.2830480311	-4.51849479281	1.96176711225	2.4273351203	[]
7	0	[]	[]	2.06143117781	1.5654406567	3.19084241049	1.85869581737	4.42245134787	2.1283949383	2.34387781595	[]	[]
7	1	[]	[]	2.2347352045	1.56113681343	8.12582213348	2.79004161713	1.19641083979	2.00621596509	2.46660105446	[]	[]
8	0	[]	[]	[]	2.19546482391	1.70401626461	-2.23476702	1.80928926784	2.34694391517	[]	[]	[]
8	1	[]	[]	[]	2.23971816518	1.78119313183	-2.59043819421	1.873241486	2.36400547729	[]	[]	[]
9	0	[]	[]	[]	[]	2.23681824589	1.78789469233	2.31816126939	[]	[]	[]	[]
9	1	[]	[]	[]	[]	2.29123732346	1.85028951986	2.31484845231	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	2.30555164049	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	2.31427342603	[]	[]	[]	[]	[]
