b\a	mol	0	1	2	3	4	5	6	7	8	9	10
0	0	[]	[]	[]	[]	[]	2.28393010272	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	2.27156857953	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	2.84860311391	1.76449946373	2.51187036254	[]	[]	[]	[]
1	1	[]	[]	[]	[]	2.29767717494	1.95688277866	2.8609567664	[]	[]	[]	[]
2	0	[]	[]	[]	3.95507862646	0.329537193548	-2.2779693206	-0.875694225923	3.05687631994	[]	[]	[]
2	1	[]	[]	[]	3.35637662071	-0.591746263806	-1.59667608503	0.474411680659	3.97347138042	[]	[]	[]
3	0	[]	[]	3.77151675751	1.6806103345	1.61717724239	3.08424232249	3.25436533233	2.18462299773	2.92593948935	[]	[]
3	1	[]	[]	3.59608091393	1.26661695348	0.799673200084	0.848513943519	1.77826024137	1.99078734632	2.88668006976	[]	[]
4	0	[]	3.53724953626	3.45669392673	8.8902965967	9.34661982577	3.84079374184	3.84491611248	7.12964742513	4.16709104896	2.84593211279	[]
4	1	[]	3.00777853258	2.50880310375	4.20386406471	2.31038199301	0.969815922698	3.6259236193	4.03094512597	1.72759253688	4.61316090348	[]
5	0	2.05629497159	2.6638116806	4.56639635503	5.90792425051	3.60713491313	0.0	0.338297191904	2.91182177801	3.15753013102	2.20625436107	2.83288755187
5	1	2.09764135316	2.82938602944	3.98884750094	3.44965023233	0.339637837708	-0.622919936964	1.48383076198	3.04730851723	2.34094601707	1.88017167671	3.46702474589
6	0	[]	2.96739472139	2.98430026137	6.71915297979	6.51808345967	3.19689954378	2.82609482325	3.21486888529	1.6353748536	2.81115899792	[]
6	1	[]	2.35833595247	5.76549681104	9.56319348803	4.82328906895	1.77067221561	5.12477245598	4.89145694854	1.7227195294	4.50955482049	[]
7	0	[]	[]	3.3023727814	1.54136774051	1.85725808975	2.76017200842	4.33171088028	4.08081380771	2.27118702857	[]	[]
7	1	[]	[]	2.54544161271	1.4602837444	1.95767732464	2.16479186493	1.59391088457	1.74913569128	2.31455164371	[]	[]
8	0	[]	[]	[]	2.33798182107	2.93929407477	4.40790445181	3.56535807537	2.36385060456	[]	[]	[]
8	1	[]	[]	[]	2.48127554334	1.80467386974	1.66587876421	2.01555837836	2.18990486246	[]	[]	[]
9	0	[]	[]	[]	[]	2.93455281964	1.66009611124	2.62715979961	[]	[]	[]	[]
9	1	[]	[]	[]	[]	2.59130715437	1.82193472357	3.00673840439	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	2.33514879262	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	2.30875627588	[]	[]	[]	[]	[]
