a\c	mol	0	1	2	3	4	5	6	7	8	9	10
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	3.3023727814	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	2.54544161271	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	0.77462096056	1.54136774051	1.5215827142	[]	[]	[]	[]
3	1	[]	[]	[]	[]	2.4777605747	1.4602837444	2.76435148033	[]	[]	[]	[]
4	0	[]	[]	[]	3.00422817572	-0.268516182022	1.85725808975	-0.474095002789	3.07738936101	[]	[]	[]
4	1	[]	[]	[]	2.74960190986	-1.22162724078	1.95767732464	-1.44604277514	2.82038535548	[]	[]	[]
5	0	[]	[]	2.33330537937	2.03206743566	-6.77673196506	2.76017200842	-6.75517815722	2.1283949383	2.34694391517	[]	[]
5	1	[]	[]	2.32017234566	1.95475861866	-4.34774280965	2.16479186493	-4.51849479281	2.00621596509	2.36400547729	[]	[]
6	0	[]	[]	[]	2.47764017996	-3.3574738839	4.33171088028	-3.46496955878	2.4268455519	[]	[]	[]
6	1	[]	[]	[]	2.91003516705	0.35579706599	1.59391088457	0.210027365132	2.86401485482	[]	[]	[]
7	0	[]	[]	[]	[]	2.53507778569	4.08081380771	2.71952614722	[]	[]	[]	[]
7	1	[]	[]	[]	[]	1.05891511504	1.74913569128	1.76741009364	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	2.27118702857	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	2.31455164371	[]	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
9	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
