b\a	mol	0	1	2	3	4	5	6	7	8	9	10
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	0.753522440641	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	0.468463358152	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	0.366498399211	0.0568843811644	-0.302437057605	[]	[]	[]	[]
3	1	[]	[]	[]	[]	0.0277703229792	0.156379993686	-0.262473575268	[]	[]	[]	[]
4	0	[]	[]	[]	-0.255596952398	-0.155887694085	-0.418404204988	-0.18380068056	-0.673587734484	[]	[]	[]
4	1	[]	[]	[]	-0.228058739329	0.187178314334	-0.386894819443	-0.165317095352	-0.412298408403	[]	[]	[]
5	0	[]	[]	0.809903948703	0.276052255853	0.231512670929	0.0561408158813	0.135967716076	0.167990678553	0.245502692931	[]	[]
5	1	[]	[]	0.346724790175	0.197449259202	-0.0307310516543	-0.00821645557958	0.0943117533363	0.331454325072	0.899553870147	[]	[]
6	0	[]	[]	[]	-0.277952255914	-0.368175075897	-0.143308714131	0.179526829538	0.0285138060764	[]	[]	[]
6	1	[]	[]	[]	-0.651292758471	-0.320230292621	-0.852515788394	-0.0450823023042	0.618390287661	[]	[]	[]
7	0	[]	[]	[]	[]	-1.09080033608	-0.352591636138	-0.442453379362	[]	[]	[]	[]
7	1	[]	[]	[]	[]	-0.528962015557	0.107065609574	0.650417641082	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	0.431531647188	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	0.469593181956	[]	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
9	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
