c\b	mol	0	1	2	3	4	5	6	7	8	9	10
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	0.654246427267	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	1.45423746857	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	-0.700471888818	0.159753502546	0.0301458672792	[]	[]	[]	[]
3	1	[]	[]	[]	[]	-0.431402230365	0.328603057173	0.620641282389	[]	[]	[]	[]
4	0	[]	[]	[]	-1.89051214825	-3.3471867111	-0.959897717183	0.192241879087	-0.167772970624	[]	[]	[]
4	1	[]	[]	[]	-2.7583059734	-1.62609885662	-1.07928875973	0.43269366588	-1.40355106383	[]	[]	[]
5	0	[]	[]	5.87774511492	8.91404490167	8.22304494263	2.18824573633	-0.456405429316	-0.415590788464	-1.30813392665	[]	[]
5	1	[]	[]	13.5966037356	13.2959073533	5.17780680404	1.10970443013	-0.560361679883	-3.51344637711	0.649754361254	[]	[]
6	0	[]	[]	[]	-1.83858432181	-3.19545053638	-0.881938756712	0.167521495224	-0.171706672265	[]	[]	[]
6	1	[]	[]	[]	-2.67216163745	-1.54779727625	-0.979253594515	0.378752276281	-1.45082436934	[]	[]	[]
7	0	[]	[]	[]	[]	-0.673587734484	0.167990678553	0.0285138060764	[]	[]	[]	[]
7	1	[]	[]	[]	[]	-0.412298408403	0.331454325072	0.618390287661	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	0.653336428678	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	1.45317451336	[]	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
9	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
