b\a	mol	0	1	2	3	4	5	6
0	0	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	2.02053625164	[]	[]	[]
1	1	[]	[]	[]	1.7370724131	[]	[]	[]
2	0	[]	[]	1.93496520146	1.60903903654	1.68470573649	[]	[]
2	1	[]	[]	1.53945853626	1.479351259	1.66808578597	[]	[]
3	0	[]	1.96452480889	1.60228086719	1.46676880245	1.47821895405	1.70221293395	[]
3	1	[]	1.69148516045	1.4788450524	1.46803025173	1.61514593185	1.95186686108	[]
4	0	[]	[]	1.68273088738	1.48234462334	1.54184432717	[]	[]
4	1	[]	[]	1.67744662388	1.62461512213	1.92457633809	[]	[]
5	0	[]	[]	[]	1.75357364943	[]	[]	[]
5	1	[]	[]	[]	2.01141979008	[]	[]	[]
6	0	[]	[]	[]	[]	[]	[]	[]
6	1	[]	[]	[]	[]	[]	[]	[]
