c\b	mol	0	1	2	3	4	5	6
0	0	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	1.9866462152	[]	[]	[]
1	1	[]	[]	[]	1.72408093094	[]	[]	[]
2	0	[]	[]	1.93256971787	1.59988727197	1.68033450001	[]	[]
2	1	[]	[]	1.53808174722	1.47769551833	1.67605598457	[]	[]
3	0	[]	1.99169631376	1.64616690332	0.931545698701	1.52449264539	1.73445203461	[]
3	1	[]	1.58662222275	0.816805022321	0.807299379839	1.5096814117	1.72466519563	[]
4	0	[]	[]	1.93496520146	1.60228086719	1.68273088738	[]	[]
4	1	[]	[]	1.53945853626	1.4788450524	1.67744662388	[]	[]
5	0	[]	[]	[]	1.98727614043	[]	[]	[]
5	1	[]	[]	[]	1.72453904492	[]	[]	[]
6	0	[]	[]	[]	[]	[]	[]	[]
6	1	[]	[]	[]	[]	[]	[]	[]
