b\a	mol	0	1	2
0	0	[]	0.255010775617	[]
0	1	[]	0.583032749304	[]
1	0	0.404775274032	0.0	0.816541612425
1	1	0.911528276217	0.371035406736	0.134976702096
2	0	[]	0.407566862327	[]
2	1	[]	0.150323159524	[]
