time	name	mols_cen	mols_sur	mols_outer	insize	outsize	energyev	Uqq	Uqd	Udd	Totdip_x	Totdip_y	Totdip_z
Thu, 22 May 2014 12:59:44 +0000	TIPS_Pc_anion_neut_delocdist0_inner4	['sp_TIPS_Pc_neut.xyz']	['sp_TIPS_Pc_neut.xyz']	['sp_TIPS_Pc_neut.xyz']	4	0	-1.1050037848	0.0	-2.2100075696	1.1050037848	1.39888101103e-14	3.38409855694e-14	4.66293670343e-15
time	name	mols_cen	mols_sur	mols_outer	insize	outsize	energyev	Uqq	Uqd	Udd	Totdip_x	Totdip_y	Totdip_z
Thu, 22 May 2014 13:00:00 +0000	TIPS_Pc_anion_neut_delocdist1_inner4	['sp_TIPS_Pc_neut.xyz']	['sp_TIPS_Pc_neut.xyz']	['sp_TIPS_Pc_neut.xyz']	4	0	0.0887115916387	0.472248985337	-0.767074787397	0.383537393698	2.44249065418e-15	1.96509475359e-14	2.74780198595e-15
time	name	mols_cen	mols_sur	mols_outer	insize	outsize	energyev	Uqq	Uqd	Udd	Totdip_x	Totdip_y	Totdip_z
Thu, 22 May 2014 13:00:05 +0000	TIPS_Pc_anion_neut_delocdist2_inner4	['sp_TIPS_Pc_neut.xyz']	['sp_TIPS_Pc_neut.xyz']	['sp_TIPS_Pc_neut.xyz']	4	0	0.208314319801	0.382098871201	-0.3475691028	0.1737845514	-1.47659662275e-14	4.04494146511e-15	2.26207941267e-15
time	name	mols_cen	mols_sur	mols_outer	insize	outsize	energyev	Uqq	Uqd	Udd	Totdip_x	Totdip_y	Totdip_z
Thu, 22 May 2014 13:00:49 +0000	TIPS_Pc_cation_neut_delocdist0_inner4	['sp_TIPS_Pc_neut.xyz']	['sp_TIPS_Pc_neut.xyz']	['sp_TIPS_Pc_neut.xyz']	4	0	-1.1050037848	0.0	-2.2100075696	1.1050037848	-1.39888101103e-14	-3.38409855694e-14	-4.66293670343e-15
time	name	mols_cen	mols_sur	mols_outer	insize	outsize	energyev	Uqq	Uqd	Udd	Totdip_x	Totdip_y	Totdip_z
Thu, 22 May 2014 13:00:43 +0000	TIPS_Pc_cation_neut_delocdist1_inner4	['sp_TIPS_Pc_neut.xyz']	['sp_TIPS_Pc_neut.xyz']	['sp_TIPS_Pc_neut.xyz']	4	0	0.0887115916387	0.472248985337	-0.767074787397	0.383537393698	-2.44249065418e-15	-1.96509475359e-14	-2.74780198595e-15
time	name	mols_cen	mols_sur	mols_outer	insize	outsize	energyev	Uqq	Uqd	Udd	Totdip_x	Totdip_y	Totdip_z
Thu, 22 May 2014 13:01:00 +0000	TIPS_Pc_cation_neut_delocdist2_inner4	['sp_TIPS_Pc_neut.xyz']	['sp_TIPS_Pc_neut.xyz']	['sp_TIPS_Pc_neut.xyz']	4	0	0.208314319801	0.382098871201	-0.3475691028	0.1737845514	1.47659662275e-14	-4.04494146511e-15	-2.26207941267e-15
time	name	mols_cen	mols_sur	mols_outer	insize	outsize	energyev	Uqq	Uqd	Udd	Totdip_x	Totdip_y	Totdip_z
Thu, 22 May 2014 13:01:23 +0000	TIPS_Pc_neut_neut_delocdist0_inner4	['sp_TIPS_Pc_neut.xyz']	['sp_TIPS_Pc_neut.xyz']	['sp_TIPS_Pc_neut.xyz']	4	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
