a\c	mol	0	1	2	3	4
0	0	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]
1	0	[]	[]	0.445818727361	[]	[]
1	1	[]	[]	-0.0704172000269	[]	[]
1	2	[]	[]	1.03189613195	[]	[]
1	3	[]	[]	0.823556815064	[]	[]
2	0	[]	0.411171034171	2.53656784081	1.53782378341	[]
2	1	[]	2.75852493505	-0.0169240573075	0.238780323136	[]
2	2	[]	0.903436945045	-0.1281450285	-0.626340699907	[]
2	3	[]	0.486595304035	0.786256204632	0.40426777279	[]
3	0	[]	[]	0.429638348734	[]	[]
3	1	[]	[]	-0.0775280397433	[]	[]
3	2	[]	[]	1.08591663639	[]	[]
3	3	[]	[]	0.847009733936	[]	[]
4	0	[]	[]	[]	[]	[]
4	1	[]	[]	[]	[]	[]
4	2	[]	[]	[]	[]	[]
4	3	[]	[]	[]	[]	[]
