[[ 0.02325695 -0.00638322  0.00858993]]
[[ 0.02755029  0.0033313   0.00835082]]
[[ 0.04346929 -0.01088539  0.01450049]]
[[ 0.04395768  0.00646164  0.01192349]]
[[ 0.07143555 -0.01400356  0.02600806]]
[[ 0.09540655  0.01567939  0.02829741]]
[[ 0.3463409  -0.0614291   0.13987102]]
[[ 0.39783059  0.07242306  0.11409542]]
[[ 0.08380113 -0.02190584  0.0360646 ]]
[[ 0.09667054  0.01061912  0.03620734]]
[[ 0.33791891 -0.09112058  0.1657239 ]]
[[ 0.32511084  0.02692618  0.13593549]]
[[ 0.07953093 -0.02159651  0.0281202 ]]
[[ 0.09519168  0.01098915  0.02910651]]
[[ 0.37587536 -0.10648429  0.14262018]]
[[ 0.32761053  0.02859478  0.09554706]]
[[ 0.07214609 -0.02038081  0.01971862]]
[[ 0.08949831  0.01083468  0.02104135]]
[[ 0.34298247 -0.10216019  0.08642039]]
[[ 0.27242523  0.02550018  0.04000294]]
[[ 0.0815138  -0.0278364   0.02812314]]
[[ 0.08735974  0.00548623  0.02765472]]
[[ 0.29382471 -0.10984624  0.10444155]]
[[ 0.204505   -0.00392697  0.06003904]]
[[-0.21227868  0.33605676 -0.04438124]]
[[ 0.23553055  0.33713843  0.14219335]]
[[-0.26594623  0.10777158 -0.06308875]]
[[-0.28709811 -0.01354678 -0.08537062]]
[[-0.00482095  0.65795937  0.70346909]]
[[ 0.62315607  0.26621895  1.00685597]]
[[-0.25169425  0.0820034  -0.0246412 ]]
[[-0.31265866 -0.05030056 -0.04526385]]
[[-0.89675048  1.40704631 -0.18715114]]
[[ 1.70491126  1.56433951  1.88822913]]
[[-0.33827845  0.10402198 -0.08452391]]
[[-0.38261566 -0.0576699  -0.1109664 ]]
[[-0.88217638  0.73491764 -0.89010137]]
[[-0.23241568  1.61196351 -2.05125801]]
[[-0.37330823  0.10910777 -0.1424858 ]]
[[-0.37653861 -0.05315418 -0.15713691]]
[[ 0.47229344 -0.03686295  0.86840678]]
[[ 0.21202651 -0.05396745  0.50165759]]
[[-0.14778513  0.03191796  0.01480757]]
[[-0.20732698 -0.05687639  0.00224503]]
[[ 2.01869313 -0.17904868  3.62567625]]
[[ 0.5439072  -0.22327832  1.33047556]]
[[-0.22692235  0.04596204 -0.02163415]]
[[-0.29266399 -0.07538238 -0.04224733]]
[[ 0.00065388  0.00186405 -0.00023929]]
[[ 1.48471732 -2.55533421  5.46332791]]
[[-0.30724985  0.05899505 -0.08071356]]
[[-0.35279987 -0.08542098 -0.09930192]]
[[-2.02082743  0.18566638 -3.62802013]]
[[-3.78249817 -2.42874654 -5.20735658]]
[[-0.34097832  0.06266559 -0.13831079]]
[[-0.34848871 -0.07945711 -0.14040416]]
[[-0.47591542  0.04298958 -0.87205927]]
[[-0.73258603 -0.18854532 -1.3116255 ]]
[[-0.30825785  0.0546651  -0.16303194]]
[[-0.29081035 -0.06254014 -0.14888861]]
[[ 0.88001303 -0.73141533  0.88690043]]
[[ 0.0759963  -0.23846876  0.4026573 ]]
[[-0.15158961  0.00749648 -0.0135879 ]]
[[-0.20923729 -0.07205348 -0.02972597]]
[[ 0.89662868 -1.40395969  0.18565929]]
[[-0.09102433 -0.47376549  0.28812076]]
[[-0.19839806  0.01001868 -0.05466273]]
[[-0.24409463 -0.07936473 -0.06644289]]
[[ 0.00520527 -0.65552908 -0.70520733]]
[[-0.34525598 -0.4662769  -0.24401704]]
[[-0.22105311  0.01156272 -0.09566728]]
[[-0.24557208 -0.07552025 -0.09561683]]
[[ 0.2125392  -0.33474343  0.04230711]]
[[-0.05237423 -0.16271671  0.05794515]]
[[-0.10679377 -0.01404464 -0.03108716]]
[[-0.15209812 -0.06114103 -0.04022768]]
[[-0.08405267  0.03107578 -0.02969685]]
[[-0.08800126 -0.00727481 -0.02184473]]
[[-0.04404883  0.01228749 -0.01250765]]
[[-0.04671499 -0.00713844 -0.01305252]]
[[-0.07520311  0.02348315 -0.02050946]]
[[-0.08246798 -0.01199868 -0.01304039]]
[[-0.03953136  0.0094188  -0.00906602]]
[[-0.04457925 -0.00876008 -0.00976863]]
[[-0.08343022  0.02501211 -0.03004934]]
[[-0.09206928 -0.01275694 -0.02186307]]
[[-0.04247893  0.00991712 -0.01227262]]
[[-0.04725714 -0.00904977 -0.01304411]]
[[-0.08813466  0.02541578 -0.03894515]]
[[-0.09822493 -0.01292085 -0.03092112]]
[[-0.04482626  0.01025749 -0.01562765]]
[[-0.0491115  -0.00914753 -0.01632675]]
[[-0.07584783  0.01675293 -0.02802304]]
[[-0.08862245 -0.01695541 -0.02028726]]
[[-0.0395227   0.00729788 -0.01172075]]
[[-0.04615211 -0.01050278 -0.01266571]]
[[-0.02596799  0.00769452 -0.00974055]]
[[-0.02915386 -0.00371745 -0.00789363]]
[[-0.01777423  0.00422561 -0.0056379 ]]
[[-0.01935001 -0.00346096 -0.00565783]]
