a\c	mol	0	1	2	3	4
0	0	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]
1	0	[]	[]	0.49251033765	[]	[]
1	1	[]	[]	0.267662243864	[]	[]
2	0	[]	0.61904094891	0.474426163097	0.617579285226	[]
2	1	[]	0.542307462826	0.351395506729	0.541412554757	[]
3	0	[]	[]	0.46117935739	[]	[]
3	1	[]	[]	0.501383374289	[]	[]
4	0	[]	[]	[]	[]	[]
4	1	[]	[]	[]	[]	[]
