a\c	mol	0	1	2	3	4
0	0	[]	[]	0.532278181764	[]	[]
0	1	[]	[]	0.387825203275	[]	[]
1	0	[]	0.516443547357	0.258961547148	0.512858662519	[]
1	1	[]	0.478603864675	0.242657204378	0.478140384858	[]
2	0	0.640124708266	0.479732217804	0.0	0.479289011363	0.639841233978
2	1	0.640017330627	0.490235671397	0.296708320189	0.490458179345	0.639915416289
3	0	[]	0.465804401673	0.224382490655	0.468094069004	[]
3	1	[]	0.539579524983	0.447804588952	0.539510712671	[]
4	0	[]	[]	0.470065930333	[]	[]
4	1	[]	[]	0.544269462614	[]	[]
