c\b	mol	0	1	2	3	4
0	0	[]	[]	0.640124708266	[]	[]
0	1	[]	[]	0.640017330627	[]	[]
1	0	[]	0.61904094891	0.479732217804	0.547561168885	[]
1	1	[]	0.542307462826	0.490235671397	0.624477687599	[]
2	0	0.636679871352	0.474426163097	0.0	0.432796138876	0.576279879352
2	1	0.571250035182	0.351395506729	0.296708320189	0.495671626154	0.640105258964
3	0	[]	0.617579285226	0.479289011363	0.548992692716	[]
3	1	[]	0.541412554757	0.490458179345	0.625361519447	[]
4	0	[]	[]	0.639841233978	[]	[]
4	1	[]	[]	0.639915416289	[]	[]
