a\c	mol	0	1	2
0	0	[]	2.86057934725	[]
0	1	[]	2.13933298716	[]
1	0	2.28205497543	0.0	2.285585746
1	1	2.28912269311	1.47654999787	2.30055948807
2	0	[]	1.65903877652	[]
2	1	[]	3.16250202644	[]
