c\b	mol	0	1	2
0	0	[]	2.28205497543	[]
0	1	[]	2.28912269311	[]
1	0	2.05711700243	0.0	2.21802661462
1	1	2.10651440668	1.47654999787	2.51843380375
2	0	[]	2.285585746	[]
2	1	[]	2.30055948807	[]
