c\b	mol	0	1	2	3	4	5	6
0	0	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	-3.280030826	[]	[]	[]
1	1	[]	[]	[]	-2.86794377625	[]	[]	[]
2	0	[]	[]	-3.19144433057	-6.74892392544	-3.47533295476	[]	[]
2	1	[]	[]	-2.73057828526	-5.00465973019	-3.02626817447	[]	[]
3	0	[]	-2.9216878062	-8.20409648958	4.34488128127	9.89564782315	-2.79598299937	[]
3	1	[]	-2.71369702434	-6.84607258609	-3.68639173855	0.255844677695	-2.53248547602	[]
4	0	[]	[]	-3.34499029181	-6.59805630405	-3.34407805911	[]	[]
4	1	[]	[]	-2.95967083308	-4.93545154058	-2.86062655609	[]	[]
5	0	[]	[]	[]	-3.29363934343	[]	[]	[]
5	1	[]	[]	[]	-2.88607211745	[]	[]	[]
6	0	[]	[]	[]	[]	[]	[]	[]
6	1	[]	[]	[]	[]	[]	[]	[]
