a\c	mol	0	1	2	3	4	5	6
0	0	[]	[]	[]	-2.02908957873	[]	[]	[]
0	1	[]	[]	[]	-4.40434335296	[]	[]	[]
1	0	[]	[]	-3.81969434332	-4.91616682528	-3.87911566798	[]	[]
1	1	[]	[]	-3.25645687153	-5.80584388675	-3.3644748926	[]	[]
2	0	[]	-2.90586347395	-5.25242754174	-5.15823897705	-5.19344760232	-2.90298889425	[]
2	1	[]	-3.22015898255	-6.69707453487	-5.92094389413	-6.55381283054	-3.22025393128	[]
3	0	-3.50535795523	-4.04464717474	-8.34992742716	0.0	-8.22966333456	-4.05355380653	-3.51134964867
3	1	-3.47757902048	-3.93620449854	-8.54556591021	-5.33331207331	-8.39246070175	-3.9461380133	-3.4834892321
4	0	[]	-3.280030826	-6.74892392544	4.34488128127	-6.59805630405	-3.29363934343	[]
4	1	[]	-2.86794377625	-5.00465973019	-3.68639173855	-4.93545154058	-2.88607211745	[]
5	0	[]	[]	-3.18359914984	-0.0132735216366	-3.27873065667	[]	[]
5	1	[]	[]	-3.93596409196	-3.07711967636	-4.09283848394	[]	[]
6	0	[]	[]	[]	-1.65622554841	[]	[]	[]
6	1	[]	[]	[]	-4.29754685034	[]	[]	[]
