c\b	mol	0	1	2	3	4	5	6
0	0	[]	[]	[]	-3.50535795523	[]	[]	[]
0	1	[]	[]	[]	-3.47757902048	[]	[]	[]
1	0	[]	[]	-3.52952632926	-4.04464717474	-3.56314628638	[]	[]
1	1	[]	[]	-3.45048298543	-3.93620449854	-3.52008529595	[]	[]
2	0	[]	-3.4180122776	-3.98555510268	-8.34992742716	-4.2440701475	-3.67930877701	[]
2	1	[]	-3.42481185783	-3.82090794405	-8.54556591021	-4.07387578287	-3.56687453209	[]
3	0	-3.0498246975	-3.78122527915	-8.27255406117	0.0	17.9541473653	-4.96559192815	-3.59256167968
3	1	-3.4447510549	-3.08895104671	-3.26712638125	-5.33331207331	8.63699586806	-4.38620185238	-3.88290025699
4	0	[]	-3.51855278885	-3.98677849313	-8.22966333456	-4.27931914431	-3.64447943633	[]
4	1	[]	-3.3828027851	-3.87244187469	-8.39246070175	-4.07254270961	-3.64312486746	[]
5	0	[]	[]	-3.55228777688	-4.05355380653	-3.565508902	[]	[]
5	1	[]	[]	-3.45163186216	-3.9461380133	-3.534671528	[]	[]
6	0	[]	[]	[]	-3.51134964867	[]	[]	[]
6	1	[]	[]	[]	-3.4834892321	[]	[]	[]
