b\a	mol	0	1	2	3	4	5	6
0	0	[]	[]	[]	-3.0498246975	[]	[]	[]
0	1	[]	[]	[]	-3.4447510549	[]	[]	[]
1	0	[]	[]	-3.12126727203	-3.78122527915	-2.9216878062	[]	[]
1	1	[]	[]	-4.30720658465	-3.08895104671	-2.71369702434	[]	[]
2	0	[]	5.47265499197	-7.23825836838	-8.27255406117	-8.20409648958	-0.161812308567	[]
2	1	[]	0.290371355093	-6.04466171759	-3.26712638125	-6.84607258609	9.39649590577	[]
3	0	-2.02908957873	-4.91616682528	-5.15823897705	0.0	4.34488128127	-0.0132735216366	-1.65622554841
3	1	-4.40434335296	-5.80584388675	-5.92094389413	-5.33331207331	-3.68639173855	-3.07711967636	-4.29754685034
4	0	[]	-3.62619074552	3.35099245142	17.9541473653	9.89564782315	-4.41960908697	[]
4	1	[]	-4.59651653549	2.94277502775	8.63699586806	0.255844677695	-4.00209159419	[]
5	0	[]	[]	-3.28978989104	-4.96559192815	-2.79598299937	[]	[]
5	1	[]	[]	-3.73692118429	-4.38620185238	-2.53248547602	[]	[]
6	0	[]	[]	[]	-3.59256167968	[]	[]	[]
6	1	[]	[]	[]	-3.88290025699	[]	[]	[]
