c\b	mol	0	1	2	3	4	5	6
0	0	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	0.608165870797	[]	[]	[]
1	1	[]	[]	[]	0.573233205366	[]	[]	[]
2	0	[]	[]	0.585705355876	0.50827737519	0.53573768631	[]	[]
2	1	[]	[]	0.519652221364	0.495134524226	0.544134015819	[]	[]
3	0	[]	0.600931370072	0.463689763907	0.235475985132	0.465398390108	0.560227023711	[]
3	1	[]	0.536795804004	0.267726278216	0.263994737924	0.506404271055	0.566274658413	[]
4	0	[]	[]	0.582831756199	0.505997838854	0.535512318113	[]	[]
4	1	[]	[]	0.518549411808	0.494501316165	0.545085329507	[]	[]
5	0	[]	[]	[]	0.607273789087	[]	[]	[]
5	1	[]	[]	[]	0.57309898682	[]	[]	[]
6	0	[]	[]	[]	[]	[]	[]	[]
6	1	[]	[]	[]	[]	[]	[]	[]
