b\a	mol	0	1	2	3	4	5	6
0	0	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	0.700946439791	[]	[]	[]
1	1	[]	[]	[]	0.616492257187	[]	[]	[]
2	0	[]	[]	0.585705355876	0.547122520607	0.526660232374	[]	[]
2	1	[]	[]	0.519652221364	0.513637287631	0.546378373953	[]	[]
3	0	[]	0.544641589329	0.50827737519	0.480781862345	0.480507717923	0.49648719031	[]
3	1	[]	0.519895896856	0.495134524226	0.496222021687	0.531841211909	0.588343567497	[]
4	0	[]	[]	0.53573768631	0.514640723279	0.516905235248	[]	[]
4	1	[]	[]	0.544134015819	0.560733058595	0.610984634751	[]	[]
5	0	[]	[]	[]	0.622453717404	[]	[]	[]
5	1	[]	[]	[]	0.704094372213	[]	[]	[]
6	0	[]	[]	[]	[]	[]	[]	[]
6	1	[]	[]	[]	[]	[]	[]	[]
