a\c	mol	0	1	2	3	4	5	6
0	0	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	0.527886663865	[]	[]	[]
1	1	[]	[]	[]	0.36556787779	[]	[]	[]
2	0	[]	[]	0.585705355876	0.463689763907	0.582831756199	[]	[]
2	1	[]	[]	0.519652221364	0.267726278216	0.518549411808	[]	[]
3	0	[]	0.706743566259	0.547122520607	0.450886171048	0.546056796492	0.70632800513	[]
3	1	[]	0.63317746557	0.513637287631	0.362401167393	0.513031011579	0.632872779168	[]
4	0	[]	[]	0.526660232374	0.464643975323	0.527315739867	[]	[]
4	1	[]	[]	0.546378373953	0.4901727522	0.546038357635	[]	[]
5	0	[]	[]	[]	0.511596197519	[]	[]	[]
5	1	[]	[]	[]	0.57970757107	[]	[]	[]
6	0	[]	[]	[]	[]	[]	[]	[]
6	1	[]	[]	[]	[]	[]	[]	[]
