b\a	mol	0	1	2	3	4	5	6	7	8	9	10	11	12
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
4	0	[]	[]	[]	[]	[]	[]	2.65579333448	[]	[]	[]	[]	[]	[]
4	1	[]	[]	[]	[]	[]	[]	2.01770330606	[]	[]	[]	[]	[]	[]
5	0	[]	[]	[]	[]	[]	1.700580183	2.23488387202	2.38543964093	[]	[]	[]	[]	[]
5	1	[]	[]	[]	[]	[]	2.1598931328	1.69012814882	2.06463629152	[]	[]	[]	[]	[]
6	0	[]	[]	[]	[]	3.60883392648	1.99671722868	1.88876902117	1.83101989016	2.24163664068	[]	[]	[]	[]
6	1	[]	[]	[]	[]	2.30851687352	1.84647660388	1.85591146522	2.34956950832	3.03120685468	[]	[]	[]	[]
7	0	[]	[]	[]	[]	[]	2.69159765778	1.93056356192	2.88536211091	[]	[]	[]	[]	[]
7	1	[]	[]	[]	[]	[]	2.93160272155	3.07715924695	3.57986515033	[]	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	2.03884499719	[]	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	[]	2.90913916202	[]	[]	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
9	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
11	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
11	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
12	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
12	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
