c\b	mol	0	1	2	3	4	5	6	7	8	9	10	11	12
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	1.66999281405	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	1.89316871551	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	1.70033841809	1.99720142703	2.69050577104	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	2.15890688517	1.84715867268	2.92971472436	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	1.9830389974	1.50424501054	1.8856919944	1.23305828708	0.492602879852	[]	[]	[]	[]
3	1	[]	[]	[]	[]	1.66899966334	1.82252834705	1.60161299438	1.28038531032	1.08453106118	[]	[]	[]	[]
4	0	[]	[]	[]	1.47220713113	1.86119399853	1.39533639854	1.57611254874	0.964308922293	-1.6448435002	0.096678894915	[]	[]	[]
4	1	[]	[]	[]	1.9719444358	1.85882337343	1.03389533337	0.265482019343	1.21512081327	0.421072678091	0.861514813281	[]	[]	[]
5	0	[]	[]	3.4492902818	2.41444167165	1.76227934404	1.6802153745	1.47588867012	1.24807251898	1.56690363933	2.0667357187	1.30738140112	[]	[]
5	1	[]	[]	1.99194358072	1.7760970219	1.86141387447	1.69626181995	1.24217949129	1.69405936887	1.82121110447	1.73500448368	1.46227726077	[]	[]
6	0	[]	2.68365117915	1.71509221894	1.80276927173	1.57508504299	1.10110517925	0.594377291142	1.24823634739	1.81892266517	2.00138809613	1.70306515344	1.82933870285	[]
6	1	[]	1.94548907689	1.67803267571	1.60822041261	1.15621884463	0.521171136631	0.556394872048	1.55089985301	1.82604026481	1.90948524034	1.59899930638	1.86245535941	[]
7	0	[]	[]	3.4743745319	2.43999574854	1.74993771232	1.66352283714	1.49161881194	1.33256430497	1.74702139396	2.16600846556	1.35023131835	[]	[]
7	1	[]	[]	2.01834727448	1.77798024758	1.82073840952	1.63634723321	1.30354610806	1.7910443075	1.92452972236	1.80051923383	1.44603176571	[]	[]
8	0	[]	[]	[]	1.47417567627	1.83506759406	1.44366964424	1.58480446715	1.0252400085	-1.34518815256	0.252462298389	[]	[]	[]
8	1	[]	[]	[]	1.95939949113	1.86221327239	1.08680736359	0.374135187773	1.26161515506	0.54545695916	0.945305993918	[]	[]	[]
9	0	[]	[]	[]	[]	1.98194645519	1.51470481594	1.89109989263	1.23687040707	0.502740240861	[]	[]	[]	[]
9	1	[]	[]	[]	[]	1.6752300463	1.82251152166	1.60131403035	1.28241594947	1.0859016867	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	1.700580183	1.99671722868	2.69159765778	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	2.1598931328	1.84647660388	2.93160272155	[]	[]	[]	[]	[]
11	0	[]	[]	[]	[]	[]	[]	1.66937112164	[]	[]	[]	[]	[]	[]
11	1	[]	[]	[]	[]	[]	[]	1.89242547096	[]	[]	[]	[]	[]	[]
12	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
12	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
