c\b	mol	0	1	2	3	4
0	0	[]	[]	3.08968676783	[]	[]
0	1	[]	[]	0.735745979156	[]	[]
0	2	[]	[]	0.734062417859	[]	[]
0	3	[]	[]	0.273365424804	[]	[]
1	0	[]	0.412558738379	-0.0414469198747	1.72375090528	[]
1	1	[]	2.76533106058	2.75815734349	0.229138565102	[]
1	2	[]	0.902834169701	1.47298713479	0.445811716402	[]
1	3	[]	0.486684993316	-0.2656991403	-0.411673129994	[]
2	0	2.72510526637	2.53810009642	0.0	0.862365938448	-0.0206012604544
2	1	0.768034868342	-0.0174418252256	-0.66962803482	-0.0823621359197	0.466833836098
2	2	1.15804841858	-0.128722831191	-0.539940423369	0.0482282859124	0.176150388282
2	3	-0.395610755319	0.786957048838	0.588476469833	1.7865427309	1.21255838734
3	0	[]	1.53816709501	0.376358879288	0.181172525608	[]
3	1	[]	0.240129485692	0.466461710357	-0.444789107426	[]
3	2	[]	-0.626807225455	0.340823998778	0.388999387666	[]
3	3	[]	0.40375488188	0.790646422639	0.727292986511	[]
4	0	[]	[]	0.999793051066	[]	[]
4	1	[]	[]	-0.637725870117	[]	[]
4	2	[]	[]	-0.234087733993	[]	[]
4	3	[]	[]	0.687542834522	[]	[]
