c\b	mol	0	1	2	3	4
0	0	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]
1	0	[]	[]	-1.00254000598	[]	[]
1	1	[]	[]	1.0149652691	[]	[]
1	2	[]	[]	1.03217075245	[]	[]
1	3	[]	[]	-1.32766968637	[]	[]
2	0	[]	0.429060259401	0.907224850241	0.491425718416	[]
2	1	[]	-0.0780858513871	0.00904025603943	0.944038399053	[]
2	2	[]	1.08524642642	-0.328333361406	-0.268594433543	[]
2	3	[]	0.846775281025	0.855810609081	0.040531509265	[]
3	0	[]	[]	0.784907837722	[]	[]
3	1	[]	[]	0.245722637108	[]	[]
3	2	[]	[]	0.377596123128	[]	[]
3	3	[]	[]	0.74098343974	[]	[]
4	0	[]	[]	[]	[]	[]
4	1	[]	[]	[]	[]	[]
4	2	[]	[]	[]	[]	[]
4	3	[]	[]	[]	[]	[]
