c\b	mol	0	1	2	3	4
0	0	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]
1	0	[]	[]	0.772034070435	[]	[]
1	1	[]	[]	0.680454444966	[]	[]
1	2	[]	[]	0.638104507162	[]	[]
1	3	[]	[]	0.548260139226	[]	[]
2	0	[]	0.715694909209	0.392637528459	0.69726531424	[]
2	1	[]	0.359256805847	0.26833701692	0.66969993617	[]
2	2	[]	0.706258085926	0.490458255186	0.659029535515	[]
2	3	[]	0.515164836511	0.454648361986	0.662983838533	[]
3	0	[]	[]	0.757030752921	[]	[]
3	1	[]	[]	0.664406395506	[]	[]
3	2	[]	[]	0.78089197798	[]	[]
3	3	[]	[]	0.696095092828	[]	[]
4	0	[]	[]	[]	[]	[]
4	1	[]	[]	[]	[]	[]
4	2	[]	[]	[]	[]	[]
4	3	[]	[]	[]	[]	[]
