a\c	mol	0	1	2	3	4	5	6
0	0	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	1.4052572012	[]	[]	[]
1	1	[]	[]	[]	1.25602569409	[]	[]	[]
2	0	[]	[]	1.39167993475	0.873725009364	1.46020985504	[]	[]
2	1	[]	[]	1.54052495954	1.80521067552	1.57810663698	[]	[]
3	0	[]	1.57310111769	1.3985668238	0.904687672139	1.39416893367	1.56720054753	[]
3	1	[]	1.70603885014	1.50701749542	1.07542725664	1.55169556639	1.70879122571	[]
4	0	[]	[]	1.47411298973	1.29886402782	1.4123492026	[]	[]
4	1	[]	[]	1.44490726702	1.34342329896	1.43435017972	[]	[]
5	0	[]	[]	[]	1.20374978697	[]	[]	[]
5	1	[]	[]	[]	1.24126748752	[]	[]	[]
6	0	[]	[]	[]	[]	[]	[]	[]
6	1	[]	[]	[]	[]	[]	[]	[]
