c\b	mol	0	1	2	3	4	5	6
0	0	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	1.47848632413	[]	[]	[]
1	1	[]	[]	[]	1.71011650448	[]	[]	[]
2	0	[]	[]	1.39167993475	1.52492084102	1.5591389674	[]	[]
2	1	[]	[]	1.54052495954	1.50640183531	1.3914292843	[]	[]
3	0	[]	1.475587917	0.873725009364	0.858785051707	1.40645773368	1.29193756151	[]
3	1	[]	1.67990806866	1.80521067552	1.010902431	1.26881214551	1.04645431373	[]
4	0	[]	[]	1.46020985504	1.60916949209	1.64329803533	[]	[]
4	1	[]	[]	1.57810663698	1.59345337783	1.47230103708	[]	[]
5	0	[]	[]	[]	1.48684761093	[]	[]	[]
5	1	[]	[]	[]	1.73268807301	[]	[]	[]
6	0	[]	[]	[]	[]	[]	[]	[]
6	1	[]	[]	[]	[]	[]	[]	[]
