a\c	mol	0	1	2	3	4	5	6
0	0	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	1.07997835419	[]	[]	[]
1	1	[]	[]	[]	1.27066645873	[]	[]	[]
2	0	[]	[]	1.5591389674	1.40645773368	1.64329803533	[]	[]
2	1	[]	[]	1.3914292843	1.26881214551	1.47230103708	[]	[]
3	0	[]	1.84733658474	1.43932674877	0.982088181012	1.39724359784	1.84292647732	[]
3	1	[]	1.58301909006	1.39987206583	0.68291732269	1.42735179619	1.58520123459	[]
4	0	[]	[]	1.81232688881	1.30937626992	1.69608033062	[]	[]
4	1	[]	[]	1.51026830077	0.798930949581	1.43461189492	[]	[]
5	0	[]	[]	[]	1.7377922697	[]	[]	[]
5	1	[]	[]	[]	1.69057747178	[]	[]	[]
6	0	[]	[]	[]	[]	[]	[]	[]
6	1	[]	[]	[]	[]	[]	[]	[]
