a\c	mol	0	1	2	3	4
0	0	[]	[]	[]	[]	[]
1	0	[]	[]	0.464436310206	[]	[]
2	0	[]	0.634743565006	0.31882646953	0.660941924758	[]
3	0	[]	[]	0.603620888941	[]	[]
4	0	[]	[]	[]	[]	[]
