b\a	mol	0	1	2	3	4
0	0	[]	[]	[]	[]	[]
1	0	[]	[]	0.660941924758	[]	[]
2	0	[]	0.648091017539	0.491526917595	0.63336400674	[]
3	0	[]	[]	0.634743565006	[]	[]
4	0	[]	[]	[]	[]	[]
