c\b	mol	0	1	2	3	4
0	0	[]	[]	[]	[]	[]
1	0	[]	[]	0.63336400674	[]	[]
2	0	[]	0.464436310206	0.316578752589	0.603620888941	[]
3	0	[]	[]	0.648091017539	[]	[]
4	0	[]	[]	[]	[]	[]
