[[-0.44690716 -0.19979145 -0.06396543]]
[[-1.19817216  1.0378194  -0.27286211]]
[[ 0.00802377 -0.96632356 -0.01807659]]
[[ 1.18197948 -0.65514912 -0.27230955]]
[[ 0.04340087  0.05307579 -0.36000158]]
[[ 0.08553759  0.12052147 -0.22224546]]
[[ 0.0140771   0.01117426 -0.34695319]]
[[ 0.78170295  1.06843879 -0.7026707 ]]
[[-0.8112593  -1.14544887  0.84731943]]
[[-0.07863309 -0.11343659  0.30788806]]
[[ 0.01410126  0.98171986 -0.52718271]]
[[ 0.08886713  0.47567681 -0.29544802]]
[[ 0.4510648   0.20823472 -0.41101098]]
[[ 0.23677923  0.14313705 -0.19180642]]
