dist, distbohr, pol, energy, energyev
0.0 	6.23609869666	 [[ 5.90666904  0.17534715  0.22818165]] 	[[-0.05984026]] 	[[-1.62831332]]
0.5 	7.18096213554	 [[ 8.73193396  0.02975806  0.01409774]] 	[[-0.0416466]] 	[[-1.13324567]]
1.0 	8.12582557443	 [[ 6.5599593  -0.01527985  0.11585074]] 	[[-0.01647868]] 	[[-0.44840139]]
1.5 	9.07068901332	 [[ 4.98013014 -0.0323686   0.13581736]] 	[[-0.00773335]] 	[[-0.21043207]]
2.0 	10.0155524522	 [[ 4.16873298 -0.03132608  0.12371946]] 	[[-0.0048809]] 	[[-0.13281423]]
2.5 	10.9604158911	 [[ 3.6531603  -0.02757244  0.10604726]] 	[[-0.00354108]] 	[[-0.09635643]]
3.0 	11.90527933	 [[ 3.27525949 -0.02379969  0.08945996]] 	[[-0.00274178]] 	[[-0.07460651]]
3.5 	12.8501427689	 [[ 2.97643882 -0.02060964  0.0750105 ]] 	[[-0.00220034]] 	[[-0.05987333]]
4.0 	13.7950062078	 [[ 2.72959636 -0.01799601  0.06268421]] 	[[-0.00180665]] 	[[-0.04916086]]
4.5 	14.7398696466	 [[ 2.5200459  -0.01585285  0.05226345]] 	[[-0.00150785]] 	[[-0.04103009]]
5.0 	15.6847330855	 [[ 2.33886245 -0.01407904  0.04350807]] 	[[-0.00127453]] 	[[-0.03468119]]
5.5 	16.6295965244	 [[ 2.18014311 -0.01259516  0.03618831]] 	[[-0.0010886]] 	[[-0.02962201]]
6.0 	17.5744599633	 [[ 2.03972312 -0.01134123  0.03009156]] 	[[-0.00093812]] 	[[-0.02552721]]
6.5 	18.5193234022	 [[ 1.91451502 -0.01027185  0.02502532]] 	[[-0.00081477]] 	[[-0.02217058]]
7.0 	19.4641868411	 [[ 1.80214295 -0.00935227  0.02081925]] 	[[-0.00071255]] 	[[-0.01938911]]
7.5 	20.40905028	 [[ 1.70072723 -0.00855545  0.01732586]] 	[[-0.00062703]] 	[[-0.01706224]]
