c\b	mol	0	1	2	3	4
0	0	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]
1	0	[]	[]	-1.00234366572	[]	[]
1	1	[]	[]	1.01584017555	[]	[]
1	2	[]	[]	1.03297850025	[]	[]
1	3	[]	[]	-1.32824409984	[]	[]
2	0	[]	0.429641487749	0.90792197338	0.492108170833	[]
2	1	[]	-0.0775249754658	0.00992025811223	0.944914799816	[]
2	2	[]	1.08592026548	-0.327980100895	-0.268434137397	[]
2	3	[]	0.847010966471	0.856263747639	0.0406734722157	[]
3	0	[]	[]	0.785783284101	[]	[]
3	1	[]	[]	0.246591694559	[]	[]
3	2	[]	[]	0.378229238208	[]	[]
3	3	[]	[]	0.741864282975	[]	[]
4	0	[]	[]	[]	[]	[]
4	1	[]	[]	[]	[]	[]
4	2	[]	[]	[]	[]	[]
4	3	[]	[]	[]	[]	[]
