[[ -2.73587913e-01  -1.98541540e-19   1.76062577e-20]]
[[ -1.25397865e+00  -6.95416702e-19  -8.04319042e-19]]
[[  1.43661344e-03  -2.67918702e-01  -4.93468883e-20]]
[[  9.67558051e-02  -1.83376657e-01   7.91984834e-20]]
[[  1.43661344e-03  -3.16595237e-17  -2.67918702e-01]]
[[  9.67558051e-02  -2.13331582e-17  -1.83376657e-01]]
[[  9.27551362e-04   0.00000000e+00  -5.42124384e-20]]
[[  9.92193941e-01  -4.19732694e-26   2.16850576e-19]]
[[  1.43661344e-03  -4.33698655e-19   2.67918702e-01]]
[[  9.67558051e-02  -1.27060626e-19   1.83376657e-01]]
[[  1.43661344e-03   2.67918702e-01  -2.01827602e-19]]
[[  9.67558051e-02   1.83376657e-01   5.61338958e-20]]
[[  2.73251683e-01  -1.09027119e-19   2.20241963e-19]]
[[  1.14097833e-01  -2.95785226e-19  -7.82146559e-20]]
