b\a	mol	0	1	2	3	4	5	6	7	8	9	10	11	12
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	1.51842792443	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	-18.9588293644	[]	[]	[]	[]	[]	[]
1	2	[]	[]	[]	[]	[]	[]	1.39226066866	[]	[]	[]	[]	[]	[]
1	3	[]	[]	[]	[]	[]	[]	-1.23805311537	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	2.00511033077	-5.95051140797	2.31327752056	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	1.85667938478	-9.19830948009	1.38307245409	[]	[]	[]	[]	[]
2	2	[]	[]	[]	[]	[]	-1.02992921305	-3.40026258706	3.57639753059	[]	[]	[]	[]	[]
2	3	[]	[]	[]	[]	[]	-5.8080539128	2.41062893581	3.25825400095	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	2.23400657253	2.17160072924	-6.5212423804	2.06748727279	2.19250195909	[]	[]	[]	[]
3	1	[]	[]	[]	[]	2.42250002674	2.34469636917	-10.1633231511	1.98147176026	2.5567763346	[]	[]	[]	[]
3	2	[]	[]	[]	[]	3.13608124113	-11.5175822518	-0.587476369783	4.19188091337	3.33097670906	[]	[]	[]	[]
3	3	[]	[]	[]	[]	3.18219066681	2.64135283475	1.47231610016	2.37865905368	3.02934625991	[]	[]	[]	[]
4	0	[]	[]	[]	2.64042002136	2.36497034828	2.24486577704	-9.81263711448	2.30051235552	2.40924426041	2.77065245804	[]	[]	[]
4	1	[]	[]	[]	13.60289933	2.46325649195	2.53282949345	-8.20330318886	1.83326670409	2.57896400539	18.8137925146	[]	[]	[]
4	2	[]	[]	[]	3.07786530577	3.89521029684	-5.63662140582	0.264873839913	3.85557624627	4.3238845754	3.16223457577	[]	[]	[]
4	3	[]	[]	[]	1.08948094558	2.58192604886	-0.775795196103	1.36750241482	2.84002085394	2.69760930931	1.13852793162	[]	[]	[]
5	0	[]	[]	1.89649692066	6.41363845571	2.30336801638	2.65904325962	-9.22779189551	2.22623299332	2.28414256381	8.23806598193	1.88659329148	[]	[]
5	1	[]	[]	0.761155351993	8.47411886999	2.26573918575	2.47199138556	-7.92706273432	1.90307511526	2.37625054697	11.3438269654	0.743079327892	[]	[]
5	2	[]	[]	2.76952902094	1.22650451039	3.0257642668	-2.6774083233	1.16757323505	3.26334728266	3.03267822142	1.33488036164	2.73702409679	[]	[]
5	3	[]	[]	1.45329017176	2.2656592943	2.37760597256	-0.0342138498272	1.92185557782	2.57806786918	2.33506582973	2.27560004399	1.24305710254	[]	[]
6	0	[]	2.14834428877	2.09109119687	6.95217952159	2.43214031593	2.74455322921	-9.00354351978	1.96111960393	2.49231404125	8.97453716346	2.08402289887	2.14668689887	[]
6	1	[]	3.84726831549	1.20645355435	7.32617488462	2.03438335648	2.12050430116	-6.60211454417	1.79232100796	2.1090499116	9.83219084762	1.19556024381	3.82759436734	[]
6	2	[]	3.9166686968	0.714328644475	1.93166953318	3.43669597662	0.87125630995	1.58808407267	2.22768881816	3.76965938133	2.01204796141	0.238371692891	3.92695146203	[]
6	3	[]	2.08331269407	2.31508564443	2.16237936803	2.50339553173	1.02381577664	1.88734870099	2.25216957567	2.2979246349	2.17280975935	2.31520403901	2.08699222499	[]
7	0	[]	[]	1.57895969334	2.9469240029	2.4300952685	2.69822844379	-10.7291664192	1.86883436474	2.55866491415	3.26577526551	1.56884324468	[]	[]
7	1	[]	[]	3.45065254801	5.93411338478	2.21851936303	2.52176432579	-1.65222417236	1.42502572247	2.38598483458	7.8765038147	3.46930886553	[]	[]
7	2	[]	[]	1.85887213106	2.33586688681	3.0632885814	0.438330832401	1.81373763011	2.5727331555	3.22211927272	2.38076959091	1.71303269453	[]	[]
7	3	[]	[]	2.46842313757	2.38131559534	2.20583816074	1.54972483475	1.88433428158	1.93531527017	2.11820611192	2.41023196575	2.47216522253	[]	[]
