System	Alignment	Angle	Distance	Energy	Uqq	Uqd	Udd	Dipole Moment
8Tcatmul.xyz:PCBM_EDITEDO_anion_mul	4th_ring	30.0	2.0	[[-1.4375874]]	-1.41804154926	[[-0.03909171]]	[[ 0.01954586]]	[[ 0.0099806   0.15140583  0.25891161]]
8Tcatmul.xyz:PCBM_EDITEDO_anion_mul	4th_ring	30.0	2.5	[[-1.19176888]]	-1.18490397449	[[-0.01372981]]	[[ 0.0068649]]	[[ 0.00854483  0.11554218  0.17635465]]
8Tcatmul.xyz:PCBM_EDITEDO_anion_mul	4th_ring	30.0	3.0	[[-0.9864385]]	-0.983487881035	[[-0.00590124]]	[[ 0.00295062]]	[[ 0.00668962  0.0842093   0.12302935]]
8Tcatmul.xyz:PCBM_EDITEDO_anion_mul	4th_ring	30.0	3.5	[[-0.81762856]]	-0.816279759038	[[-0.00269759]]	[[ 0.0013488]]	[[ 0.00487415  0.06041449  0.08691078]]
8Tcatmul.xyz:PCBM_EDITEDO_anion_mul	4th_ring	30.0	4.0	[[-0.68083969]]	-0.68019464525	[[-0.00129009]]	[[ 0.00064504]]	[[ 0.00335992  0.04328152  0.06204553]]
8Tcatmul.xyz:PCBM_EDITEDO_anion_mul	4th_ring	30.0	4.5	[[-0.57080274]]	-0.570481875114	[[-0.00064173]]	[[ 0.00032086]]	[[ 0.00222663  0.03119154  0.04478341]]
8Tcatmul.xyz:PCBM_EDITEDO_anion_mul	4th_ring	30.0	5.0	[[-0.48244087]]	-0.482275224978	[[-0.00033128]]	[[ 0.00016564]]	[[ 0.00143968  0.02271128  0.03272487]]
8Tcatmul.xyz:PCBM_EDITEDO_anion_mul	4th_ring	30.0	5.5	[[-0.41130557]]	-0.411216946852	[[-0.00017725]]	[[  8.86270983e-05]]	[[ 0.0009187   0.01674969  0.02423746]]
8Tcatmul.xyz:PCBM_EDITEDO_anion_mul	4th_ring	30.0	6.0	[[-0.35372318]]	-0.353674099298	[[ -9.81607125e-05]]	[[  4.90803562e-05]]	[[ 0.00058301  0.01252699  0.01820483]]
8Tcatmul.xyz:PCBM_EDITEDO_anion_mul	4th_ring	30.0	6.5	[[-0.30676963]]	-0.306741551826	[[ -5.61616402e-05]]	[[  2.80808201e-05]]	[[ 0.00036941  0.00950342  0.01386673]]
8Tcatmul.xyz:PCBM_EDITEDO_anion_mul	4th_ring	30.0	7.0	[[-0.26816605]]	-0.268149487128	[[ -3.31281854e-05]]	[[  1.65640927e-05]]	[[ 0.00023396  0.00731095  0.01070706]]
8Tcatmul.xyz:PCBM_EDITEDO_anion_mul	4th_ring	30.0	7.5	[[-0.23615428]]	-0.236144231019	[[ -2.01025346e-05]]	[[  1.00512673e-05]]	[[ 0.0001479   0.00569971  0.00837508]]
