b\a	mol	0	1	2	3	4	5	6	7	8
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	2.47778237911	[]	[]	[]	[]
3	1	[]	[]	[]	[]	1.96221445513	[]	[]	[]	[]
4	0	[]	[]	[]	1.6703107348	1.816753826	1.85622251725	[]	[]	[]
4	1	[]	[]	[]	1.89379966349	1.85368149492	1.67657808441	[]	[]	[]
5	0	[]	[]	[]	[]	2.00016555274	[]	[]	[]	[]
5	1	[]	[]	[]	[]	2.46283719	[]	[]	[]	[]
6	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
6	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
7	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
7	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
