b\a	mol	0	1	2	3	4	5	6	7	8
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	2.47784204604	[]	[]	[]	[]
3	1	[]	[]	[]	[]	1.96206751735	[]	[]	[]	[]
4	0	[]	[]	[]	1.67084916884	1.81673067416	1.85594286852	[]	[]	[]
4	1	[]	[]	[]	1.89393681081	1.85356275164	1.67645446317	[]	[]	[]
5	0	[]	[]	[]	[]	2.00012658825	[]	[]	[]	[]
5	1	[]	[]	[]	[]	2.46299300576	[]	[]	[]	[]
6	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
6	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
7	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
7	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
