a\c	mol	0	1	2	3	4	5	6	7	8
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	0.888107881096	[]	[]	[]	[]
1	1	[]	[]	[]	[]	-1.10211410971	[]	[]	[]	[]
2	0	[]	[]	[]	1.33648098345	0.405374627069	1.33217681964	[]	[]	[]
2	1	[]	[]	[]	0.956905816096	-1.46263815349	0.945964676929	[]	[]	[]
3	0	[]	[]	2.68269687977	1.25835895674	0.586573608208	1.24588698854	2.68624159683	[]	[]
3	1	[]	[]	2.92133610453	1.28106968216	0.824716906429	1.26785524559	2.92550034098	[]	[]
4	0	[]	2.00016555274	1.92197981738	1.45817384345	-0.692127392567	1.44148502619	1.92380007842	2.00012658825	[]
4	1	[]	2.46283719	3.06676285345	0.76140268642	0.658734656972	0.738125424373	3.07043114099	2.46299300576	[]
5	0	[]	[]	2.87507117175	1.75143734958	0.75057867521	1.75087449647	2.87797666411	[]	[]
5	1	[]	[]	3.56966379546	1.5478178613	0.715651224579	1.52625802089	3.5732295826	[]	[]
6	0	[]	[]	[]	1.60746176402	1.72683539897	1.59593502845	[]	[]	[]
6	1	[]	[]	[]	2.18572898133	2.44279799934	2.17737009187	[]	[]	[]
7	0	[]	[]	[]	[]	1.71129759835	[]	[]	[]	[]
7	1	[]	[]	[]	[]	2.89342286413	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
