b\a	mol	0	1	2	3	4	5	6	7	8
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	2.32425032186	[]	[]	[]	[]
1	1	[]	[]	[]	[]	2.04677222862	[]	[]	[]	[]
2	0	[]	[]	[]	1.93206842475	1.61719102977	1.2735408845	[]	[]	[]
2	1	[]	[]	[]	1.59848466099	1.74185214045	1.3241934958	[]	[]	[]
3	0	[]	[]	1.34783596266	1.42675489226	1.16736055481	1.39869700457	0.914456889711	[]	[]
3	1	[]	[]	1.36411392669	1.76684664775	1.17950615049	1.41130393737	1.16953250053	[]	[]
4	0	[]	2.46096549785	1.89425635919	1.81280087558	1.63949554758	1.70435543811	1.73454984463	1.80647991371	[]
4	1	[]	1.97295239293	1.80365769806	1.564053337	1.57229416898	1.6685587559	1.87692351503	2.42943791002	[]
5	0	[]	[]	1.33217681964	1.24588698854	1.44148502619	1.75087449647	1.59593502845	[]	[]
5	1	[]	[]	0.945964676929	1.26785524559	0.738125424373	1.52625802089	2.17737009187	[]	[]
6	0	[]	[]	[]	0.530860172911	1.24097494447	1.15528009906	[]	[]	[]
6	1	[]	[]	[]	1.1006718829	1.70995944488	2.24393042226	[]	[]	[]
7	0	[]	[]	[]	[]	2.04781878963	[]	[]	[]	[]
7	1	[]	[]	[]	[]	2.07015782375	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
