a\c	mol	0	1	2	3	4	5	6	7	8
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	2.28873851469	[]	[]	[]	[]
3	1	[]	[]	[]	[]	2.14528925709	[]	[]	[]	[]
4	0	[]	[]	[]	2.33766710609	2.33113641031	2.32425032186	[]	[]	[]
4	1	[]	[]	[]	2.04978226361	1.94802905948	2.04677222862	[]	[]	[]
5	0	[]	[]	[]	[]	1.85348375934	[]	[]	[]	[]
5	1	[]	[]	[]	[]	1.32209487941	[]	[]	[]	[]
6	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
6	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
7	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
7	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
