a\c	mol	0	1	2	3	4	5	6	7	8
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	2.26855098276	[]	[]	[]	[]
2	1	[]	[]	[]	[]	2.02975103464	[]	[]	[]	[]
3	0	[]	[]	[]	1.94599026382	2.16104894773	1.93206842475	[]	[]	[]
3	1	[]	[]	[]	1.57291726678	1.80361420547	1.59848466099	[]	[]	[]
4	0	[]	[]	2.6534896914	1.61108683257	1.0534301655	1.61719102977	2.6522118718	[]	[]
4	1	[]	[]	2.01180861236	1.73295700804	0.75100520071	1.74185214045	2.01175227779	[]	[]
5	0	[]	[]	[]	1.26074231992	1.40215568673	1.2735408845	[]	[]	[]
5	1	[]	[]	[]	1.30573045504	-0.157771556725	1.3241934958	[]	[]	[]
6	0	[]	[]	[]	[]	0.432827572812	[]	[]	[]	[]
6	1	[]	[]	[]	[]	-0.224630463864	[]	[]	[]	[]
7	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
7	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
