a\c	mol	0	1	2	3	4	5	6	7	8
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	0.25230637533	[]	[]	[]	[]
3	1	[]	[]	[]	[]	0.77025200105	[]	[]	[]	[]
4	0	[]	[]	[]	2.04827331483	1.93565651267	2.04781878963	[]	[]	[]
4	1	[]	[]	[]	2.0361493631	1.99781816036	2.07015782375	[]	[]	[]
5	0	[]	[]	[]	[]	1.81565497138	[]	[]	[]	[]
5	1	[]	[]	[]	[]	1.81724400926	[]	[]	[]	[]
6	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
6	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
7	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
7	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
