c\b	mol	0	1	2	3	4	5	6	7	8
0	0	[]	[]	[]	[]	1.87602284648	[]	[]	[]	[]
0	1	[]	[]	[]	[]	1.8900082156	[]	[]	[]	[]
1	0	[]	[]	[]	2.47778237911	1.816753826	2.00016555274	[]	[]	[]
1	1	[]	[]	[]	1.96221445513	1.85368149492	2.46283719	[]	[]	[]
2	0	[]	[]	2.6534896914	2.2243485391	1.88063956348	1.92197981738	2.03093211071	[]	[]
2	1	[]	[]	2.01180861236	1.68128629305	1.84764791905	3.06676285345	2.90367510218	[]	[]
3	0	[]	2.33766710609	1.61108683257	1.13641899662	1.63982134281	1.45817384345	1.24923296911	2.04827331483	[]
3	1	[]	2.04978226361	1.73295700804	1.15392191606	1.56730778541	0.76140268642	1.72326180514	2.0361493631	[]
4	0	2.44164624567	2.33113641031	1.0534301655	0.738622103193	0.0	-0.692127392567	0.096684768037	1.93565651267	1.95062362789
4	1	1.90165937447	1.94802905948	0.75100520071	-0.567604991805	0.515976764471	0.658734656972	0.284413694281	1.99781816036	2.17229804413
5	0	[]	2.32425032186	1.61719102977	1.16736055481	1.63949554758	1.44148502619	1.24097494447	2.04781878963	[]
5	1	[]	2.04677222862	1.74185214045	1.17950615049	1.57229416898	0.738125424373	1.70995944488	2.07015782375	[]
6	0	[]	[]	2.6522118718	2.2267993361	1.88149724993	1.92380007842	2.03252218591	[]	[]
6	1	[]	[]	2.01175227779	1.6822623061	1.84820917517	3.07043114099	2.90297243911	[]	[]
7	0	[]	[]	[]	2.47784204604	1.81673067416	2.00012658825	[]	[]	[]
7	1	[]	[]	[]	1.96206751735	1.85356275164	2.46299300576	[]	[]	[]
8	0	[]	[]	[]	[]	1.87616587476	[]	[]	[]	[]
8	1	[]	[]	[]	[]	1.89017367784	[]	[]	[]	[]
