c\b	mol	0	1	2	3	4	5	6	7	8
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	1.85622251725	[]	[]	[]	[]
1	1	[]	[]	[]	[]	1.67657808441	[]	[]	[]	[]
2	0	[]	[]	[]	2.37564385345	1.82257506148	2.87507117175	[]	[]	[]
2	1	[]	[]	[]	2.05455783319	2.33935603811	3.56966379546	[]	[]	[]
3	0	[]	[]	1.26074231992	1.37733197619	1.70324370999	1.75143734958	1.18168963832	[]	[]
3	1	[]	[]	1.30573045504	1.39292671786	1.68555639268	1.5478178613	2.23647900069	[]	[]
4	0	[]	1.85348375934	1.40215568673	0.714282417112	-0.464395326618	0.75057867521	1.68988495241	1.81565497138	[]
4	1	[]	1.32209487941	-0.157771556725	0.85443748377	0.891022205065	0.715651224579	2.38419535588	1.81724400926	[]
5	0	[]	[]	1.2735408845	1.39869700457	1.70435543811	1.75087449647	1.15528009906	[]	[]
5	1	[]	[]	1.3241934958	1.41130393737	1.6685587559	1.52625802089	2.24393042226	[]	[]
6	0	[]	[]	[]	2.37748160893	1.82281159744	2.87797666411	[]	[]	[]
6	1	[]	[]	[]	2.05584270554	2.34076979555	3.5732295826	[]	[]	[]
7	0	[]	[]	[]	[]	1.85594286852	[]	[]	[]	[]
7	1	[]	[]	[]	[]	1.67645446317	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
