b\a	mol	0	1	2	3	4	5	6	7	8
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	2.6522118718	[]	[]	[]	[]
2	1	[]	[]	[]	[]	2.01175227779	[]	[]	[]	[]
3	0	[]	[]	[]	1.69313079045	2.2267993361	2.37748160893	[]	[]	[]
3	1	[]	[]	[]	2.15224466226	1.6822623061	2.05584270554	[]	[]	[]
4	0	[]	[]	3.60695735125	1.99100630283	1.88149724993	1.82281159744	2.23232808326	[]	[]
4	1	[]	[]	2.30500708684	1.84032352967	1.84820917517	2.34076979555	3.02151407931	[]	[]
5	0	[]	[]	[]	2.68624159683	1.92380007842	2.87797666411	[]	[]	[]
5	1	[]	[]	[]	2.92550034098	3.07043114099	3.5732295826	[]	[]	[]
6	0	[]	[]	[]	[]	2.03252218591	[]	[]	[]	[]
6	1	[]	[]	[]	[]	2.90297243911	[]	[]	[]	[]
7	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
7	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
