b\a	mol	0	1	2	3	4	5	6
0	0	[]	[]	[]	1.5429657343	[]	[]	[]
0	1	[]	[]	[]	1.53061224279	[]	[]	[]
1	0	[]	[]	1.5202843793	1.26514302673	1.38798995552	[]	[]
1	1	[]	[]	1.57639908511	1.62138511332	1.26076039197	[]	[]
2	0	[]	1.39849561478	0.862481628177	0.89226120158	1.46038455093	1.39891943693	[]
2	1	[]	1.25502412082	1.97243637238	0.967964172136	1.46177364424	1.35455937399	[]
3	0	1.71500256352	1.20040188504	0.79485023795	0.0	1.08763250811	1.63311291818	2.11401485204
3	1	2.10899412247	1.33400002338	1.04005747172	0.365076182416	0.796142143398	1.96782667126	1.83410050465
4	0	[]	1.07066757743	1.3949338298	1.01091597386	1.32070392315	1.82007737872	[]
4	1	[]	1.32023008313	1.17328765554	0.672395785514	0.808180551036	1.82453182333	[]
5	0	[]	[]	1.33968946439	1.56754637573	1.73237028233	[]	[]
5	1	[]	[]	1.21134536856	1.26954487947	1.34893746387	[]	[]
6	0	[]	[]	[]	1.5638982194	[]	[]	[]
6	1	[]	[]	[]	1.5675416256	[]	[]	[]
