c\b	mol	0	1	2	3	4	5	6
0	0	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	1.69478171063	[]	[]	[]
1	1	[]	[]	[]	1.38671640983	[]	[]	[]
2	0	[]	[]	1.5106021907	1.56254397235	1.86251254836	[]	[]
2	1	[]	[]	1.46407052904	1.66917810006	1.54931646358	[]	[]
3	0	[]	1.38798995552	1.46038455093	1.08763250811	1.32070392315	1.73237028233	[]
3	1	[]	1.26076039197	1.46177364424	0.796142143398	0.808180551036	1.34893746387	[]
4	0	[]	[]	1.44477599747	1.45978881561	1.73851153201	[]	[]
4	1	[]	[]	1.45686586787	1.61035895675	1.46962475047	[]	[]
5	0	[]	[]	[]	1.6712058517	[]	[]	[]
5	1	[]	[]	[]	1.37159442023	[]	[]	[]
6	0	[]	[]	[]	[]	[]	[]	[]
6	1	[]	[]	[]	[]	[]	[]	[]
