c\b	mol	0	1	2	3	4	5	6
0	0	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	1.50535638166	[]	[]	[]
1	1	[]	[]	[]	1.73561382352	[]	[]	[]
2	0	[]	[]	1.40884024059	1.54248737642	1.57995372335	[]	[]
2	1	[]	[]	1.55289404036	1.51742005219	1.41605332917	[]	[]
3	0	[]	1.5202843793	0.862481628177	0.79485023795	1.3949338298	1.33968946439	[]
3	1	[]	1.57639908511	1.97243637238	1.04005747172	1.17328765554	1.21134536856	[]
4	0	[]	[]	1.48361705992	1.61937776058	1.64570863501	[]	[]
4	1	[]	[]	1.60525461911	1.6016953011	1.47961237136	[]	[]
5	0	[]	[]	[]	1.51010715529	[]	[]	[]
5	1	[]	[]	[]	1.75916400603	[]	[]	[]
6	0	[]	[]	[]	[]	[]	[]	[]
6	1	[]	[]	[]	[]	[]	[]	[]
