a\c	mol	0	1	2	3	4	5	6
0	0	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	1.39849561478	[]	[]	[]
1	1	[]	[]	[]	1.25502412082	[]	[]	[]
2	0	[]	[]	1.40884024059	0.862481628177	1.48361705992	[]	[]
2	1	[]	[]	1.55289404036	1.97243637238	1.60525461911	[]	[]
3	0	[]	1.5956183663	1.42545715857	0.89226120158	1.42614736687	1.58632214862	[]
3	1	[]	1.72823800787	1.51244068069	0.967964172136	1.57499153226	1.72864235793	[]
4	0	[]	[]	1.5106021907	1.46038455093	1.44477599747	[]	[]
4	1	[]	[]	1.46407052904	1.46177364424	1.45686586787	[]	[]
5	0	[]	[]	[]	1.39891943693	[]	[]	[]
5	1	[]	[]	[]	1.35455937399	[]	[]	[]
6	0	[]	[]	[]	[]	[]	[]	[]
6	1	[]	[]	[]	[]	[]	[]	[]
