a\c	mol	0	1	2	3	4	5	6
0	0	[]	[]	[]	1.71500256352	[]	[]	[]
0	1	[]	[]	[]	2.10899412247	[]	[]	[]
1	0	[]	[]	1.39526223307	1.20040188504	1.4496572495	[]	[]
1	1	[]	[]	1.70124492945	1.33400002338	1.7716182836	[]	[]
2	0	[]	1.50535638166	1.54248737642	0.79485023795	1.61937776058	1.51010715529	[]
2	1	[]	1.73561382352	1.51742005219	1.04005747172	1.6016953011	1.75916400603	[]
3	0	1.84537023755	1.64099626469	1.32763511813	0.0	1.32855260282	1.63183952483	1.84231265282
3	1	1.82011012758	1.62505181363	1.381444255	0.365076182416	1.45773516853	1.6231269762	1.81960169693
4	0	[]	1.69478171063	1.56254397235	1.08763250811	1.45978881561	1.6712058517	[]
4	1	[]	1.38671640983	1.66917810006	0.796142143398	1.61035895675	1.37159442023	[]
5	0	[]	[]	1.5625771833	1.63311291818	1.44069405106	[]	[]
5	1	[]	[]	1.36050101425	1.96782667126	1.25928823522	[]	[]
6	0	[]	[]	[]	2.11401485204	[]	[]	[]
6	1	[]	[]	[]	1.83410050465	[]	[]	[]
