b\a	mol	0	1	2	3	4	5	6
0	0	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	1.48146053888	[]	[]	[]
1	1	[]	[]	[]	1.42988542339	[]	[]	[]
2	0	[]	[]	1.40884024059	1.42545715857	1.5106021907	[]	[]
2	1	[]	[]	1.55289404036	1.51244068069	1.46407052904	[]	[]
3	0	[]	1.39526223307	1.54248737642	1.32763511813	1.56254397235	1.5625771833	[]
3	1	[]	1.70124492945	1.51742005219	1.381444255	1.66917810006	1.36050101425	[]
4	0	[]	[]	1.57995372335	1.4720016589	1.86251254836	[]	[]
4	1	[]	[]	1.41605332917	1.42238408292	1.54931646358	[]	[]
5	0	[]	[]	[]	1.47596944573	[]	[]	[]
5	1	[]	[]	[]	1.42291201527	[]	[]	[]
6	0	[]	[]	[]	[]	[]	[]	[]
6	1	[]	[]	[]	[]	[]	[]	[]
